tweet,timestamp,url,tweet_id,processed_tweet,polarity,pos,neu,neg
"Nike Air More Uptempo 96 ""Volt"" Has an Official Release Date  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/kD29ssLDbr",2022-07-27 07:28:52+00:00,https://twitter.com/i/web/status/1552194291799408640,1552194291799408640,"nike air uptempo 96 ""volt"" official release date &gt; cop &gt;",0.0,0,1,0
The Jordan Two Trey Joins Jordan Brand's 2022 PSG Collection  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/byMyafCv2o,2022-07-27 07:28:50+00:00,https://twitter.com/i/web/status/1552194283624714240,1552194283624714240,jordan two trey joins jordan brand's 2022 psg collection &gt; cop &gt;,0.0,0,1,0
FILA Teams Up with Iconic NYC Pizzerias for Sneaker Collection  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/vlPsayaZnB,2022-07-27 07:28:49+00:00,https://twitter.com/i/web/status/1552194279140909059,1552194279140909059,fila teams iconic nyc pizzerias sneaker collection &gt; cop &gt;,0.0,0,1,0
"LaMelo Ball Outfits the PUMA MB.01 in a Colorful ""Be You"" Look  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/52dnz4TiTq",2022-07-27 07:28:47+00:00,https://twitter.com/i/web/status/1552194272140689409,1552194272140689409,"lamelo ball outfits puma mb.01 colorful ""be you"" look &gt; cop &gt;",0.0,0,1,0
"Jordan Brand Brings ""Dark Concord"" to the Air Jordan 1 Low  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/gWDLacjvO7",2022-07-27 07:28:45+00:00,https://twitter.com/i/web/status/1552194263710064640,1552194263710064640,"jordan brand brings ""dark concord"" air jordan 1 low &gt; cop &gt;",-0.2732,0,0,1
Michael Jordan's Six NBA Championship Sneakers To Be On Display for the First Time Ever  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/bcwtM4yK1L,2022-07-27 07:28:44+00:00,https://twitter.com/i/web/status/1552194258597285888,1552194258597285888,michael jordan's six nba championship sneakers display first time ever &gt; cop &gt;,0.4404,1,0,0
thisisneverthat and New Balance Reconvene for New 1906R and 2002R Collaborations  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/R7Vau5HosV,2022-07-27 07:28:42+00:00,https://twitter.com/i/web/status/1552194251706040320,1552194251706040320,thisisneverthat new balance reconvene new 1906r 2002r collaborations &gt; cop &gt;,0.0,0,1,0
Adidas Originals Taps FiSN for Two Collaborative Editions of the Forum Low  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/ZpIKg0lEQg,2022-07-27 07:28:40+00:00,https://twitter.com/i/web/status/1552194243439087616,1552194243439087616,adidas originals taps fisn two collaborative editions forum low &gt; cop &gt;,-0.2732,0,0,1
"Official Look at Jordan Luka 1 ""University Red""  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/4ukmDq6L7S",2022-07-27 07:28:39+00:00,https://twitter.com/i/web/status/1552194238355472384,1552194238355472384,"official look jordan luka 1 ""university red"" &gt; cop &gt;",0.0,0,1,0
Gucci Presents Its New adidas Gazelle Platform Collaboration  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/pPJYrej1cf,2022-07-27 07:28:37+00:00,https://twitter.com/i/web/status/1552194229476200448,1552194229476200448,gucci presents new adidas gazelle platform collaboration &gt; cop &gt;,0.0,0,1,0
"Latest Iteration of Nike Air Max 95 ""Anatomy of Air"" Highlights the Human Spine  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/9fHRW3mNYB",2022-07-27 07:28:35+00:00,https://twitter.com/i/web/status/1552194221347577856,1552194221347577856,"latest iteration nike air max 95 ""anatomy air"" highlights human spine &gt; cop &gt;",0.0,0,1,0
"Air Jordan 3 ""Desert Elephant"" Stomps Its Way Into This Week's Best Footwear Drops  https://t.co/L18CgOTLpr &gt; COP that &gt; https://t.co/vIPgsgXjEp https://t.co/KOGgEkL3bm",2022-07-27 07:28:33+00:00,https://twitter.com/i/web/status/1552194211637772289,1552194211637772289,"air jordan 3 ""desert elephant"" stomps way week's best footwear drops &gt; cop &gt;",0.6369,1,0,0
@cookinbricks @stockx Tried to sell a funko once and I would receive $-10 if it sold,2022-07-27 07:27:56+00:00,https://twitter.com/i/web/status/1552194056695869440,1552194056695869440,tried sell funko receive $-10 sold,0.0,0,1,0
"PS5 restock today : When to expect the    console to appear at Best Buy, GameStop, Amazon, Walmart, StockX and Target . https://t.co/yX6aE3rMyh https://t.co/bBc68sxapI",2022-07-27 07:26:03+00:00,https://twitter.com/i/web/status/1552193583184171008,1552193583184171008,"ps5 restock today : expect console appear best buy, gamestop, amazon, walmart, stockx target .",0.7096,1,0,0
"Reps Sneakers for sale - Stockx SNK

STOCKXSNK offer different batches of replica shoes over 6 years, in the market, the shoes are diveded into different batches according with simulation.please visit https://t.co/3PChC3aGKF for more detail.
#StockxSNK #RepsSneakers #FakeShoes https://t.co/x5WWBwVQWD",2022-07-27 07:17:27+00:00,https://twitter.com/i/web/status/1552191419560800258,1552191419560800258,"reps sneakers sale - stockx snk stockxsnk offer different batches replica shoes 6 years, market, shoes diveded different batches according simulation.please visit detail. #stockxsnk #repssneakers #fakeshoes",0.0,0,1,0
"@cookinbricks @stockx Lmao, I got 50 of these hahahaha",2022-07-27 07:10:14+00:00,https://twitter.com/i/web/status/1552189602756173826,1552189602756173826,"lmao, got 50 hahahaha",0.5994,1,0,0
"2/  before the main collection mint. I guess it's a first in NFT history? 🤣Special thanks to our sponsors: Samsung, StockX,…",2022-07-27 06:49:52+00:00,https://twitter.com/i/web/status/1552184478604337152,1552184478604337152,"2/ main collection mint. guess first nft history? 🤣special thanks sponsors: samsung, stockx,…",0.4404,1,0,0
@okdoee @stockx Yes bro it worked out,2022-07-27 06:49:24+00:00,https://twitter.com/i/web/status/1552184358915670016,1552184358915670016,yes bro worked,0.4019,1,0,0
Limited Edition can’t find those on StockX or Goat 😎 #Priceless 🏆 https://t.co/DY5wMTAR2b,2022-07-27 06:43:24+00:00,https://twitter.com/i/web/status/1552182852300652545,1552182852300652545,limited edition find stockx goat 😎 #priceless 🏆,0.2732,1,0,0
"@stockx it says my order has not been shipped but i shipped it last week, can you help? Order nr: 39709641-39609400",2022-07-27 06:35:40+00:00,https://twitter.com/i/web/status/1552180904918917120,1552180904918917120,"says order not shipped shipped last week, can help? order nr: 39709641-39609400",0.4019,1,0,0
@cookinbricks @stockx Damn LOL,2022-07-27 06:25:23+00:00,https://twitter.com/i/web/status/1552178315489951744,1552178315489951744,damn,-0.4019,0,0,1
goat &amp; stockx fees are ridiculous,2022-07-27 06:20:56+00:00,https://twitter.com/i/web/status/1552177197162676224,1552177197162676224,goat &amp; stockx fees ridiculous,-0.3612,0,0,1
@HookTSB Using StockX as a base is a bad model tbh,2022-07-27 06:12:54+00:00,https://twitter.com/i/web/status/1552175177290629120,1552175177290629120,using stockx base bad model tbh,-0.5423,0,0,1
"Take a First Look at the A Ma Maniére x Air Jordan 4 ""Violet Ore"" https://t.co/la2eeFLgxx take you to SSENSE || COP that on StockX &gt; https://t.co/2KSRzQmcCw https://t.co/Q3Tg7Dk5V2",2022-07-27 05:49:23+00:00,https://twitter.com/i/web/status/1552169257601040384,1552169257601040384,"take first look ma maniére x air jordan 4 ""violet ore"" take ssense || cop stockx &gt;",0.0,0,1,0
ROSE IN GOOD FAITH's First Footwear Model Is Made from Recycled Sex Toys https://t.co/la2eeFLgxx take you to SSENSE || COP that on StockX &gt; https://t.co/2KSRzQmcCw https://t.co/foE7HBoWyR,2022-07-27 05:49:21+00:00,https://twitter.com/i/web/status/1552169248763645952,1552169248763645952,rose good faith's first footwear model made recycled sex toys take ssense || cop stockx &gt;,0.4404,1,0,0
"PS5 restock now : When to expect the console to appear at GameStop,   Amazon, Walmart, Best Buy, StockX, Target . https://t.co/mcxaFjZD7V https://t.co/rSgpA6lch1",2022-07-27 05:45:07+00:00,https://twitter.com/i/web/status/1552168182181351427,1552168182181351427,"ps5 restock now : expect console appear gamestop, amazon, walmart, best buy, stockx, target .",0.7096,1,0,0
"Happiest Birthday swapnil ❤️🎂
Wishing you a day full of laughter and happiness and a year that brings you much success.✨
@SWAPNIL08549861

#happybirthday #brightfuture #cake #stocktalk #stockx https://t.co/OXIl12QyXd",2022-07-27 05:37:53+00:00,https://twitter.com/i/web/status/1552166364093198336,1552166364093198336,happiest birthday swapnil ❤️🎂 wishing day full laughter happiness year brings much success.✨ #happybirthday #brightfuture #cake #stocktalk #stockx,0.9578,1,0,0
@21CHADvage @stockx Did u ever fix it,2022-07-27 05:27:04+00:00,https://twitter.com/i/web/status/1552163643143270402,1552163643143270402,ever fix,0.0,0,1,0
"@JRoss1113 @snkr_twitr I can get my size for almost retail on stockx with fees and everything,  Sizes 10.5 and up going for some good money though those will definitely get botted",2022-07-27 05:24:05+00:00,https://twitter.com/i/web/status/1552162889762385920,1552162889762385920,"can get size almost retail stockx fees everything, sizes 10.5 going good money though will definitely get botted",0.6808,1,0,0
@Dee_Ar_Jay The fake vinyl game look like StockX fakes so you may be on to something here. I be seeing albums that were never released on vinyl for HUNDREDS.,2022-07-27 05:12:54+00:00,https://twitter.com/i/web/status/1552160077339131904,1552160077339131904,fake vinyl game look like stockx fakes may something here. seeing albums never released vinyl hundreds.,-0.5267,0,0,1
@GettincashRio @cookinbricks @stockx Downright scam,2022-07-27 05:12:27+00:00,https://twitter.com/i/web/status/1552159962461347841,1552159962461347841,downright scam,-0.5719,0,0,1
"StockX: https://t.co/7CBSHr2l3h
GOAT: https://t.co/EAsEixD031
ebay: https://t.co/SF7ANlAhG7
STADIUM GOODS: https://t.co/0cd9d5hGNd
FLIGHT CLUB: https://t.co/E7kbXQJ5h8
GRAILED: https://t.co/Dq7xNM7F3S
KICKS CREW: https://t.co/zjuVDEYK6U",2022-07-27 05:00:38+00:00,https://twitter.com/i/web/status/1552156987454111744,1552156987454111744,stockx: goat: ebay: stadium goods: flight club: grailed: kicks crew:,0.0,0,1,0
Jump on a plane to #Boston in these. I might. @stockx https://t.co/ioBO7RnD8o,2022-07-27 04:49:25+00:00,https://twitter.com/i/web/status/1552154166671310849,1552154166671310849,jump plane #boston these. might.,0.0,0,1,0
